Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed,Level,EXP Needed
1,"7,200,000",101,"151,200,000",201,"295,200,000",301,"439,200,000",401,"583,200,000",501,"727,200,000",601,"871,200,000",701,"1,015,200,000",801,"1,159,200,000",901,"1,303,200,000"
2,"8,640,000",102,"152,640,000",202,"296,640,000",302,"440,640,000",402,"584,640,000",502,"728,640,000",602,"872,640,000",702,"1,016,640,000",802,"1,160,640,000",902,"1,304,640,000"
3,"10,080,000",103,"154,080,000",203,"298,080,000",303,"442,080,000",403,"586,080,000",503,"730,080,000",603,"874,080,000",703,"1,018,080,000",803,"1,162,080,000",903,"1,306,080,000"
4,"11,520,000",104,"155,520,000",204,"299,520,000",304,"443,520,000",404,"587,520,000",504,"731,520,000",604,"875,520,000",704,"1,019,520,000",804,"1,163,520,000",904,"1,307,520,000"
5,"12,960,000",105,"156,960,000",205,"300,960,000",305,"444,960,000",405,"588,960,000",505,"732,960,000",605,"876,960,000",705,"1,020,960,000",805,"1,164,960,000",905,"1,308,960,000"
6,"14,400,000",106,"158,400,000",206,"302,400,000",306,"446,400,000",406,"590,400,000",506,"734,400,000",606,"878,400,000",706,"1,022,400,000",806,"1,166,400,000",906,"1,310,400,000"
7,"15,840,000",107,"159,840,000",207,"303,840,000",307,"447,840,000",407,"591,840,000",507,"735,840,000",607,"879,840,000",707,"1,023,840,000",807,"1,167,840,000",907,"1,311,840,000"
8,"17,280,000",108,"161,280,000",208,"305,280,000",308,"449,280,000",408,"593,280,000",508,"737,280,000",608,"881,280,000",708,"1,025,280,000",808,"1,169,280,000",908,"1,313,280,000"
9,"18,720,000",109,"162,720,000",209,"306,720,000",309,"450,720,000",409,"594,720,000",509,"738,720,000",609,"882,720,000",709,"1,026,720,000",809,"1,170,720,000",909,"1,314,720,000"
10,"20,160,000",110,"164,160,000",210,"308,160,000",310,"452,160,000",410,"596,160,000",510,"740,160,000",610,"884,160,000",710,"1,028,160,000",810,"1,172,160,000",910,"1,316,160,000"
11,"21,600,000",111,"165,600,000",211,"309,600,000",311,"453,600,000",411,"597,600,000",511,"741,600,000",611,"885,600,000",711,"1,029,600,000",811,"1,173,600,000",911,"1,317,600,000"
12,"23,040,000",112,"167,040,000",212,"311,040,000",312,"455,040,000",412,"599,040,000",512,"743,040,000",612,"887,040,000",712,"1,031,040,000",812,"1,175,040,000",912,"1,319,040,000"
13,"24,480,000",113,"168,480,000",213,"312,480,000",313,"456,480,000",413,"600,480,000",513,"744,480,000",613,"888,480,000",713,"1,032,480,000",813,"1,176,480,000",913,"1,320,480,000"
14,"25,920,000",114,"169,920,000",214,"313,920,000",314,"457,920,000",414,"601,920,000",514,"745,920,000",614,"889,920,000",714,"1,033,920,000",814,"1,177,920,000",914,"1,321,920,000"
15,"27,360,000",115,"171,360,000",215,"315,360,000",315,"459,360,000",415,"603,360,000",515,"747,360,000",615,"891,360,000",715,"1,035,360,000",815,"1,179,360,000",915,"1,323,360,000"
16,"28,800,000",116,"172,800,000",216,"316,800,000",316,"460,800,000",416,"604,800,000",516,"748,800,000",616,"892,800,000",716,"1,036,800,000",816,"1,180,800,000",916,"1,324,800,000"
17,"30,240,000",117,"174,240,000",217,"318,240,000",317,"462,240,000",417,"606,240,000",517,"750,240,000",617,"894,240,000",717,"1,038,240,000",817,"1,182,240,000",917,"1,326,240,000"
18,"31,680,000",118,"175,680,000",218,"319,680,000",318,"463,680,000",418,"607,680,000",518,"751,680,000",618,"895,680,000",718,"1,039,680,000",818,"1,183,680,000",918,"1,327,680,000"
19,"33,120,000",119,"177,120,000",219,"321,120,000",319,"465,120,000",419,"609,120,000",519,"753,120,000",619,"897,120,000",719,"1,041,120,000",819,"1,185,120,000",919,"1,329,120,000"
20,"34,560,000",120,"178,560,000",220,"322,560,000",320,"466,560,000",420,"610,560,000",520,"754,560,000",620,"898,560,000",720,"1,042,560,000",820,"1,186,560,000",920,"1,330,560,000"
21,"36,000,000",121,"180,000,000",221,"324,000,000",321,"468,000,000",421,"612,000,000",521,"756,000,000",621,"900,000,000",721,"1,044,000,000",821,"1,188,000,000",921,"1,332,000,000"
22,"37,440,000",122,"181,440,000",222,"325,440,000",322,"469,440,000",422,"613,440,000",522,"757,440,000",622,"901,440,000",722,"1,045,440,000",822,"1,189,440,000",922,"1,333,440,000"
23,"38,880,000",123,"182,880,000",223,"326,880,000",323,"470,880,000",423,"614,880,000",523,"758,880,000",623,"902,880,000",723,"1,046,880,000",823,"1,190,880,000",923,"1,334,880,000"
24,"40,320,000",124,"184,320,000",224,"328,320,000",324,"472,320,000",424,"616,320,000",524,"760,320,000",624,"904,320,000",724,"1,048,320,000",824,"1,192,320,000",924,"1,336,320,000"
25,"41,760,000",125,"185,760,000",225,"329,760,000",325,"473,760,000",425,"617,760,000",525,"761,760,000",625,"905,760,000",725,"1,049,760,000",825,"1,193,760,000",925,"1,337,760,000"
26,"43,200,000",126,"187,200,000",226,"331,200,000",326,"475,200,000",426,"619,200,000",526,"763,200,000",626,"907,200,000",726,"1,051,200,000",826,"1,195,200,000",926,"1,339,200,000"
27,"44,640,000",127,"188,640,000",227,"332,640,000",327,"476,640,000",427,"620,640,000",527,"764,640,000",627,"908,640,000",727,"1,052,640,000",827,"1,196,640,000",927,"1,340,640,000"
28,"46,080,000",128,"190,080,000",228,"334,080,000",328,"478,080,000",428,"622,080,000",528,"766,080,000",628,"910,080,000",728,"1,054,080,000",828,"1,198,080,000",928,"1,342,080,000"
29,"47,520,000",129,"191,520,000",229,"335,520,000",329,"479,520,000",429,"623,520,000",529,"767,520,000",629,"911,520,000",729,"1,055,520,000",829,"1,199,520,000",929,"1,343,520,000"
30,"48,960,000",130,"192,960,000",230,"336,960,000",330,"480,960,000",430,"624,960,000",530,"768,960,000",630,"912,960,000",730,"1,056,960,000",830,"1,200,960,000",930,"1,344,960,000"
31,"50,400,000",131,"194,400,000",231,"338,400,000",331,"482,400,000",431,"626,400,000",531,"770,400,000",631,"914,400,000",731,"1,058,400,000",831,"1,202,400,000",931,"1,346,400,000"
32,"51,840,000",132,"195,840,000",232,"339,840,000",332,"483,840,000",432,"627,840,000",532,"771,840,000",632,"915,840,000",732,"1,059,840,000",832,"1,203,840,000",932,"1,347,840,000"
33,"53,280,000",133,"197,280,000",233,"341,280,000",333,"485,280,000",433,"629,280,000",533,"773,280,000",633,"917,280,000",733,"1,061,280,000",833,"1,205,280,000",933,"1,349,280,000"
34,"54,720,000",134,"198,720,000",234,"342,720,000",334,"486,720,000",434,"630,720,000",534,"774,720,000",634,"918,720,000",734,"1,062,720,000",834,"1,206,720,000",934,"1,350,720,000"
35,"56,160,000",135,"200,160,000",235,"344,160,000",335,"488,160,000",435,"632,160,000",535,"776,160,000",635,"920,160,000",735,"1,064,160,000",835,"1,208,160,000",935,"1,352,160,000"
36,"57,600,000",136,"201,600,000",236,"345,600,000",336,"489,600,000",436,"633,600,000",536,"777,600,000",636,"921,600,000",736,"1,065,600,000",836,"1,209,600,000",936,"1,353,600,000"
37,"59,040,000",137,"203,040,000",237,"347,040,000",337,"491,040,000",437,"635,040,000",537,"779,040,000",637,"923,040,000",737,"1,067,040,000",837,"1,211,040,000",937,"1,355,040,000"
38,"60,480,000",138,"204,480,000",238,"348,480,000",338,"492,480,000",438,"636,480,000",538,"780,480,000",638,"924,480,000",738,"1,068,480,000",838,"1,212,480,000",938,"1,356,480,000"
39,"61,920,000",139,"205,920,000",239,"349,920,000",339,"493,920,000",439,"637,920,000",539,"781,920,000",639,"925,920,000",739,"1,069,920,000",839,"1,213,920,000",939,"1,357,920,000"
40,"63,360,000",140,"207,360,000",240,"351,360,000",340,"495,360,000",440,"639,360,000",540,"783,360,000",640,"927,360,000",740,"1,071,360,000",840,"1,215,360,000",940,"1,359,360,000"
41,"64,800,000",141,"208,800,000",241,"352,800,000",341,"496,800,000",441,"640,800,000",541,"784,800,000",641,"928,800,000",741,"1,072,800,000",841,"1,216,800,000",941,"1,360,800,000"
