;Properties;ITEM;ITEM TYPOLOGY;;;
2 SET;"(2) Set:
Your generators also generate 1 Discipline";Unhallowed Essence (Demon Hunter);Set;S;;
2 SET;"(2) Set:
Call of the Ancients last until they die";Immortal King's Call;Set;S;;
2 SET;"(2) Set:
Reduce the cooldown of Rain of Vengeance by 2 seconds when you hit with a Hatred-generating attack or Hatred-spending attack";Natalya's Vengeance;Set;S;;
2 SET;"(2) Set:
Damaging enemies with Arcane, Cold, Fire or Lightning will cause a Meteor of the same damage type to fall from the sky. There is an 8 second cooldown for each damage type";Tal Rasha's Elements;Set;S;;
2 SET;"(2) Set:
Reduces damage from ranged attacks by 7%
Reduces damage from melee attacks by 7%";Aughild's Authority;Set;S;;
2 SET;"(2) Set:
Attack Speed Increased by 8%";Cain's Destiny;Set;S;;
2 SET;"(2) Set:
Ranged and melee attackers take 4000 damage per hit";Thorns of the Invoker;Set;S;;
2 SET;"(2) Set:
Reduce the cooldown of Earthquake by 2 seconds every time it kills an enemy";Might of the Earth;Set;S;;
2 SET;"(2) Set:
When you die, a meteor falls from the sky and revives you. This effect has a 300 second cooldown";Firebird's Finery (Wizard);Set;S;;
2 SET;"(2) Set:
+250 Vitality
Regenerates 8000 Life per Second";Guardian's Jeopardy;Set;S;;
2 SET;"(2) Set:
+500 Intelligence";Helltooth Harness (Witch Doctor);Set;S;;
2 SET;"(2) Set:
+500 Strength";Armor of Akkhan (Crusader);Set;S;;
2 SET;"(2) Set:
Increase the damage of Rend by 500% and its duration to 15 seconds";Wrath of the Wastes (Barbarian);Set;S;;
2 SET;"(2) Set:
When Haunt lands on an enemy already affected by Haunt, it instantly deals 10 seconds worth of Haunt damage";Raiment of the Jade Harvester;Set;S;;
2 SET;"(2) Set:
Companion calls all companions to your side";Embodiment of the Marauder (Demon Hunter);Set;S;;
2 SET;"(2) Set:
Your Spirit Generators have 25% increased attack speed and 300% increased damage";Raiment of a Thousand Storm (Monk);Set;S;;
2 SET;"(2) Set:
The first enemy hit by Furious Charge takes 100% additional damage";The Legacy of Raekor (Barbarian);Set;S;;
2 SET;"(2) Set:
Every use of Shield Bash and Sweep Attack reduces the cooldowns of your Laws and Defensive Skills by 1 second";Roland's Legacy (Crusader);Set;S;;
2 SET;"(2) Set:
+250 Strength
+250 Dexterity
+250 Intelligence
+250 Vitality";Sage's Journey;Set;S;;
2 SET;"(2) Set:
Casting Arcane Orb, Energy Twister, Magic Missile or Shock Pulse reduces the cooldown of Slow Time by 2 seconds";Delsere's Magnum Opus (Wizard);Set;S;;
2 SET;"(2) Set:
Casting Cyclone Strike, Exploding Palm, Lashing Tail Kick, Tempest Rush or Wave of Light causes a decoy to spawn that taunts nearby enemies and then explodes for 1000% weapon damage";Monkey King's Garb;Set;S;;
2 SET;"(2) Set:
When you hit with a resource-generating attack or primary skill, deal 50% increased damage for 5 seconds";Bastions of Will;Set;S;;
2 SET;"(2) Set:
When you hit with a resource-spending attack, deal 50% increased damage for 5 seconds";Bastions of Will;Set;S;;
2 SET;"(2) Set:
Every time you spend primary resource, you gain 6% increased attack speed for 5 seconds. This effect stacks up to 5 times";Istvan's Paired Blade;Set;S;;
2 SET;"(2) Set:
When receiving fatal damage, you instead automatically cast Smoke Screen and are healed to 25% Life. This effect may occur once every 120 seconds";The Shadow's Mantle;Set;S;;
2 SET;"(2) Set:
+500 Intelligence";Vyr's Amazing Arcana;Set;S;;
2 SET;"(2) Set:
+500 Vitality";Krelm’s Buff Bulwark (Season 1);Set;S;;
2 SET;"(2) Set:
+250 Vitality
Increases damage against elites by 10%";Blackthorne's Battlegear;Set;S;;
2 SET;"(2) Set:
Increases Fury Generation by 10
During Whirlwind you gain 30% increased attack speed and movement speed";Bul-Kathos's Oath (Barbarian);Set;S;;
2 SET;"(2) Set:
+250 Intelligence
Reduces damage from elites by 10%
Your shields heal for 25% of their remaining amount when they expire";Chantodo's Resolve (Wizard);Set;S;;
2 SET;"(2) Set:
Vault now costs 8 Hatred instead of Discipline";Danetta's Hatred (Demon Hunter);Set;S;;
2 SET;"(2) Set:
+250 Vitality
Critical Hit Damage Increased by 50%";Endless Walk;Set;S;;
2 SET;"(2) Set:
Increase the passive effect of your Mystic Ally and the base passive effect of your Mantra by 100%";Inna's Mantra ;Set;S;;
2 SET;"(2) Set:
+15% Extra Gold from Monsters
15% Better Chance of Finding Magical Items
This ring sometimes summons a Skeleton when you attack";Legacy of Nightmares;Set;S;;
2 SET;"(2) Set:
+250 Intelligence
Grants 30 Mana per Kill
You are surrounded by a deadly Poison Cloud";Manajuma's Way (Witch Doctor);Set;S;;
